CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;COSTO;ESTADO;NOTAS
GRAB-COM-003;GRABADORAS LASER;"GRABADORA LASER 20W";Todo Costura;COMERCIAL;GS;4800000.0;ACTIVO;
PRENSA-COM-007;PRENSAS;"PRENSA TAZA COMUN 11 OZ";Todo Costura;COMERCIAL;GS;440000.0;ACTIVO;
ACC-COM-002;ACCESORIOS;"TRANSFER TAZAS DOBLE";Todo Costura;COMERCIAL;GS;995000.0;ACTIVO;
ACC-ACC-018;ACCESORIOS;"EJE ROTATIVO PRO";Todo Costura;ACCESORIOS;GS;1250000.0;ACTIVO;
PRENSA-COM-008;PRENSAS;"PRENSA 8 EN 1";Todo Costura;COMERCIAL;GS;1900000.0;ACTIVO;
PRENSA-COM-009;PRENSAS;"PRENSA 11 EN 1";Todo Costura;COMERCIAL;GS;2900000.0;ACTIVO;
PRENSA-COM-010;PRENSAS;"PRENSA 15 EN 1";Todo Costura;COMERCIAL;GS;3400000.0;ACTIVO;
PRENSA-COM-011;PRENSAS;"PRENSA 6 EN 1";Todo Costura;COMERCIAL;GS;1750000.0;ACTIVO;
PRENSA-COM-012;PRENSAS;"PRENSA BOLIGRAFOS";Todo Costura;COMERCIAL;GS;1190000.0;ACTIVO;
TINTA-INS-004;TINTAS/CONSUMIBLES;"TINTA LITRO SUBLI CY,MG,YE";Todo Costura;INSUMOS;GS;180000.0;ACTIVO;
TINTA-INS-005;TINTAS/CONSUMIBLES;"TINTA LITRO SUBLI BK";Todo Costura;INSUMOS;GS;225000.0;ACTIVO;
ACC-INS-001;ACCESORIOS;"RESMA DE PAPEL A4";Todo Costura;INSUMOS;GS;30000.0;ACTIVO;
ACC-INS-002;ACCESORIOS;"RESMA DE PAPEL A4 PREMIUN";Todo Costura;INSUMOS;GS;90000.0;ACTIVO;
DTF-COM-001;EQUIPOS DTF;"HORNO DTF A3";Todo Costura;COMERCIAL;GS;3300000.0;ACTIVO;
CUT-COM-003;CORTADORAS;"CAMEO 5";Todo Costura;COMERCIAL;GS;2450000.0;ACTIVO;
GRAB-COM-004;GRABADORAS LASER;"GRABADORA LASER 10W";Todo Costura;COMERCIAL;GS;3000000.0;ACTIVO;
DTF-INS-001;EQUIPOS DTF;"DTF 60CM 100 METROS";Todo Costura;INSUMOS;GS;1300000.0;ACTIVO;
DTF-INS-002;EQUIPOS DTF;"POLVO DTF KILO";Todo Costura;INSUMOS;GS;235000.0;ACTIVO;
BRD-COM-006;BORDADORAS;"BORDADORA JANOME MC400E";Todo Costura;COMERCIAL;GS;8600000.0;ACTIVO;
BRD-COM-007;BORDADORAS;"BORDADORA JANOME MC500E";Todo Costura;COMERCIAL;GS;9900000.0;ACTIVO;
BRD-COM-008;BORDADORAS;"BORDADORA JANOME MC550E";Todo Costura;COMERCIAL;GS;10900000.0;ACTIVO;
BRD-COM-009;BORDADORAS;"BORDADORA JANOME MB7";Todo Costura;COMERCIAL;GS;39500000.0;ACTIVO;
BRD-IND-001;BORDADORAS;"BORDADORA INDUSTRIAL WILPEX WP121C";Todo Costura;INDUSTRIAL;GS;35500000.0;ACTIVO;
MAQCOS-COM-006;MAQUINAS DE COSER;"OVERLOCK FLIAR WILPEX WP334";Todo Costura;COMERCIAL;GS;1826500.0;ACTIVO;
MAQCOS-COM-007;MAQUINAS DE COSER;"COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR";Todo Costura;COMERCIAL;GS;2730000.0;ACTIVO;
CUT-COM-004;CORTADORAS;"CAMEO PLUS";Todo Costura;COMERCIAL;GS;3300000.0;ACTIVO;
CUT-COM-005;CORTADORAS;"CAMEO 15 PULGADAS";Todo Costura;COMERCIAL;GS;3600000.0;ACTIVO;
CUT-COM-006;CORTADORAS;"CAMEO 24 PULGADAS";Todo Costura;COMERCIAL;GS;4500000.0;ACTIVO;
CUT-COM-007;CORTADORAS;"CORTADORA DE PLOTTER WILPPEX 75CM";Todo Costura;COMERCIAL;GS;3200000.0;ACTIVO;
PRENSA-COM-013;PRENSAS;"PRENSA TAZAS DOBLE";Todo Costura;COMERCIAL;GS;995000.0;ACTIVO;
PRENSA-COM-014;PRENSAS;"PRENSA TAZAS 5 EN 1";Todo Costura;COMERCIAL;GS;2700000.0;ACTIVO;
BRD-IND-002;BORDADORAS;"BORDADORA WILPEX IND 15 AGUJAS SMART";Todo Costura;INDUSTRIAL;GS;36000000.0;ACTIVO;
PRENSA-IND-001;PRENSAS;"PRENSA MANUAL 100X80";Todo Costura;INDUSTRIAL;GS;12750000.0;ACTIVO;
DTF-IND-001;EQUIPOS DTF;"DOBLE BANDEJA";Todo Costura;INDUSTRIAL;GS;30500000.0;ACTIVO;
DTF-IND-002;EQUIPOS DTF;"CALANDRA 1.7 ROLLO A ROLLO";Todo Costura;INDUSTRIAL;GS;81000000.0;ACTIVO;
DTF-IND-003;EQUIPOS DTF;"CALANDRA 1.8";Todo Costura;INDUSTRIAL;GS;30000000.0;ACTIVO;
SC-IND-037;SURECOLOR;"EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR";Todo Costura;INDUSTRIAL;GS;30819955.16;ACTIVO;
MAQCOS-IND-001;MAQUINAS DE COSER;"MAQUINA DE COSER RECTA IND WILPEX";Todo Costura;INDUSTRIAL;GS;2120000.0;ACTIVO;
MAQCOS-IND-002;MAQUINAS DE COSER;"MAQUIINA DE COSER OVERLOCK IND WILPEX";Todo Costura;INDUSTRIAL;GS;3200000.0;ACTIVO;
MAQCOS-IND-003;MAQUINAS DE COSER;"MAQUINA DE COSER COLLARETA IND WILPEX";Todo Costura;INDUSTRIAL;GS;4100000.0;ACTIVO;
