ID REF;LÍNEA;PRODUCTO;P. CONTADO;P. DIGITAL (QR)
SC-032;ACCESORIOS;TAPETE BROTHER CADXMATF12 P/ CORTE DE TELA 12X12;Gs. 219.000;Gs. 229.000
SC-033;ACCESORIOS;TAPETE BROTHER CADXMATLOW12 12X12 BAJA ADHERENCIA;Gs. 159.000;Gs. 169.000
SC-034;ACCESORIOS;TAPETE BROTHER CADXMATLOW24 30x60 BAJA ADHERENCIA;Gs. 249.000;Gs. 259.000
SC-035;ACCESORIOS;TAPETE BROTHER CADXMATSTD12 30x30 STD;Gs. 159.000;Gs. 169.000
SC-036;ACCESORIOS;TAPETE BROTHER CADXMATSTD24 30x60 STD;Gs. 249.000;Gs. 259.000
SC-037;ACCESORIOS;CUCHILLA BROTHER CADXBLDV1 DE VINILO P/ AUTO;Gs. 99.000;Gs. 109.000
SC-038;ACCESORIOS;CUCHILLA DE CORTE AUTO P/ TELA BROTHER CADXBLDQ1;Gs. 109.000;Gs. 119.000
SC-039;ACCESORIOS;CUCHILLA DE CORTE AUTO STD BROTHER  CADXBLD1;Gs. 109.000;Gs. 119.000
SC-040;ACCESORIOS;RODILLO BROTHER P/ ADHE DE MAT. AL TAPETE (CABRY1);Gs. 129.000;Gs. 139.000
SC-041;COMERCIAL;SCANNCUT BROTHER SDX225PA;Gs. 4.190.000;Gs. 4.390.000
SC-042;COMERCIAL;SCANCUT SDX125;Gs. 2.990.000;Gs. 3.190.000
SC-043;COMERCIAL;PRENSA DE CALOR CRICUT TAZA 2008736;Gs. 1.490.000;Gs. 1.590.000
SC-044;COMERCIAL;PRENSA DE CALOR CRICUT EASYPRESS 2005557;Gs. 1.290.000;Gs. 1.390.000
SC-045;COMERCIAL;PRENSA DE CALOR CRICUT HAT 2009241;Gs. 1.190.000;Gs. 1.290.000
SC-046;COMERCIAL;PRENSA DE CALOR CRICUT EASYPRESS 2005553;Gs. 1.090.000;Gs. 1.190.000
SC-047;INDUSTRIAL;SURECOLOR P900;U$D 2.090;U$D 2.190
SC-048;INDUSTRIAL;IMP EPSON SCF1070SE WIF/RED SURECOLOR;U$D 8.590;U$D 8.990
SC-049;INDUSTRIAL;EPSON SURECOLOR P5000 STANDARD EDITION;U$D 2.690;U$D 2.890
SC-050;INDUSTRIAL;EPSON SURECOLOR P7570 STANDARD EDITION;U$D 5.990;U$D 6.290
SC-051;INDUSTRIAL;EPSON SURECOLOR P9570 STANDARD EDITION;U$D 8.390;U$D 8.790
SC-052;INDUSTRIAL;EPSON SURECOLOR P8570D 44 DUAL ROLL;U$D 7.890;U$D 8.290
SC-053;INDUSTRIAL;SURECOLOR P6570E SINGLE ROLL 24;U$D 4.890;U$D 5.090
SC-054;INDUSTRIAL;SURECOLOR P6570DE DUAL ROLL 24;U$D 5.890;U$D 6.190
SC-055;INDUSTRIAL;SURECOLOR P6570D DUAL ROLL 24 PS;U$D 6.690;U$D 6.990
SC-056;INDUSTRIAL;EPSON SURECOLOR P20000 STANDARD EDITION;U$D 15.490;U$D 16.190
SC-057;INDUSTRIAL;EPSON SURECOLOR P8570DL 44 INK BAGS PS;U$D 10.790;U$D 11.290
SC-058;INDUSTRIAL;SURECOLOR S40600 PRODUCTION EDITION;U$D 10.890;U$D 11.390
SC-059;INDUSTRIAL;SURE COLOR S60600L BULK INK SYSTEM;U$D 28.590;U$D 29.790
SC-060;INDUSTRIAL;SURE COLOR S80600L BULK INK SYSTEM;U$D 34.390;U$D 35.890
