Fecha Emision;Cantidad;Descripcion;Articulo Proveedor
15-ene-25;1;IMP EPSON SCF1070SE WIF/RED SURECOLOR;SCF1070SE
15-ene-25;1;IMP EPSON SCF1070SE WIF/RED SURECOLOR;SCF1070SE
21-abr-25;1;IMP EPSON SC-F2270 SURECOLOR ;SCF2270SE
21-abr-25;1;IMP EPSON SC-F2270 SURECOLOR ;SCF2270SE
11-feb-26;1;IMP EPSON SC-G6070 SURECOLOR ;SCG6070SE
10-ene-25;1;IMP EPSON SCT5170SR SURECOLOR ;SCT5170SR
10-ene-25;1;IMP EPSON SCT5170SR SURECOLOR ;SCT5170SR
12-dic-24;1;IMP EPSON SCT5475SR SURECOLOR ;SCT5475SR
12-dic-24;1;IMP EPSON SCT5770DR SURECOLOR ;SCT5770DR
26-jul-24;1;IMP EPSON SCT7270SR SURECOLOR ;SCT7270SR
30-ene-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
02-feb-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
05-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
08-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
13-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
28-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
08-mar-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
11-mar-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
13-mar-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-mar-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
01-abr-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
04-abr-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-may-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-may-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-jul-24;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
02-ago-24;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
19-ago-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
19-sept-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
25-oct-24;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
21-nov-24;4;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-dic-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-dic-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
15-ene-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
17-ene-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-ene-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-ene-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
15-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
19-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-feb-24;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
15-mar-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-mar-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-oct-24;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
09-oct-24;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-oct-24;4;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-dic-24;6;IMP EPSON SURECOLOR F170 A4;C11CJ80201
02-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
08-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
14-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
04-mar-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
31-mar-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
09-jun-25;6;IMP EPSON SURECOLOR F170 A4;C11CJ80201
11-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
18-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-sept-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-sept-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
06-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
21-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-oct-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
11-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-nov-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
17-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-ene-25;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
21-ene-25;5;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-feb-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
28-feb-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
05-mar-25;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
06-mar-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
17-mar-25;5;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-may-25;6;IMP EPSON SURECOLOR F170 A4;C11CJ80201
14-jul-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
18-jul-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
02-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
08-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
14-ene-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
04-mar-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
31-mar-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
09-jun-25;6;IMP EPSON SURECOLOR F170 A4;C11CJ80201
11-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
18-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-ago-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-sept-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-sept-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
06-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
10-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
21-oct-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
23-oct-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
11-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-nov-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
26-nov-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
03-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
17-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-dic-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-ene-25;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
21-ene-25;5;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-feb-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
28-feb-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
05-mar-25;3;IMP EPSON SURECOLOR F170 A4;C11CJ80201
06-mar-25;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
17-mar-25;5;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-may-25;6;IMP EPSON SURECOLOR F170 A4;C11CJ80201
14-jul-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
18-jul-25;1;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-ene-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
20-ene-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
22-ene-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
28-ene-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
16-feb-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
06-mar-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
31-mar-26;2;IMP EPSON SURECOLOR F170 A4;C11CJ80201
12-dic-24;1;IMP EPSON SURECOLOR F570;SCF570LA
28-abr-25;1;IMP EPSON SURECOLOR F570;SCF570LA
17-sept-25;1;IMP EPSON SURECOLOR F570;SCF570LA
06-nov-25;1;IMP EPSON SURECOLOR F570;SCF570LA
18-nov-25;1;IMP EPSON SURECOLOR F570;SCF570LA
24-jun-25;1;IMP EPSON SURECOLOR F570;SCF570LA
28-abr-25;1;IMP EPSON SURECOLOR F570;SCF570LA
17-sept-25;1;IMP EPSON SURECOLOR F570;SCF570LA
06-nov-25;1;IMP EPSON SURECOLOR F570;SCF570LA
18-nov-25;1;IMP EPSON SURECOLOR F570;SCF570LA
24-jun-25;1;IMP EPSON SURECOLOR F570;SCF570LA
06-mar-26;1;IMP EPSON SURECOLOR F570;SCF570LA
31-may-24;1;IMP EPSON SURECOLOR F571 FLUO;SCF571LA
10-ene-25;1;IMP EPSON SURECOLOR P7570 ;SCP7570SE
07-jul-25;1;IMP EPSON SURECOLOR P7570 ;SCP7570SE
10-ene-25;1;IMP EPSON SURECOLOR P7570 ;SCP7570SE
07-jul-25;1;IMP EPSON SURECOLOR P7570 ;SCP7570SE
26-nov-24;1;IMP EPSON SURECOLOR P9570;SCP9570SE
09-ene-24;1;KIT EP LIMPIADOR DE TINTAS T699300 (S40600PE);T699300
12-ago-24;1;KIT EP LIMPIADOR DE TINTAS T699300 (S40600PE);T699300
30-dic-25;1;KIT EP LIMPIADOR DE TINTAS T699300 (S40600PE);T699300
30-dic-25;1;KIT EP LIMPIADOR DE TINTAS T699300 (S40600PE);T699300
16-feb-26;1;KIT EP LIMPIADOR DE TINTAS T699300 (S40600PE);T699300
13-jun-25;1;KIT EP LIQUIDO DE LIMPIEZA SCF1070 250 ML;C13T55G900
12-nov-25;1;KIT EP LIQUIDO DE LIMPIEZA SCF1070 250 ML;C13T55G900
19-may-25;1;KIT EP LIQUIDO DE LIMPIEZA SCF1070 250 ML;C13T55G900
16-jul-25;1;KIT EP LIQUIDO DE LIMPIEZA SCF1070 250 ML;C13T55G900
21-jul-25;1;KIT EP LIQUIDO DE LIMPIEZA SCF1070 250 ML;C13T55G900
