CODIGO;CATEGORIA;NOMBRE_PRODUCTO;PROVEEDOR;LINEA_VENTA;MONEDA;P_CONTADO;P_DIGITAL_QR;ESTADO;NOTAS
ACC-ACC-003;ACCESORIOS;PATITAS BASE GRABADORA LASER;Todo Costura;ACCESORIOS;GS;259000;279000;ACTIVO;
ACC-ACC-004;ACCESORIOS;COMPRESOR DE AIRE;Todo Costura;ACCESORIOS;GS;590000;690000;ACTIVO;
ACC-ACC-005;ACCESORIOS;BASE DE PANAL PARA GRABADORA LASER 45X45;Todo Costura;ACCESORIOS;GS;390000;490000;ACTIVO;
ACC-ACC-006;ACCESORIOS;DOBLE BANDEJA;Todo Costura;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-007;ACCESORIOS;ROLLO PAPEL F570 30 METROS EPSON;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-008;ACCESORIOS;RESMA DE PAPEL A4;Todo Costura;ACCESORIOS;GS;49000;99000;ACTIVO;
ACC-ACC-009;ACCESORIOS;RESMA DE PAPEL A4 PREMIUM;Todo Costura;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-010;ACCESORIOS;TAPETE BROTHER CADXMATF12 CORTE TELA 12X12;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-011;ACCESORIOS;TAPETE BROTHER CADXMATLOW12 BAJA ADH 12X12;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-012;ACCESORIOS;TAPETE BROTHER CADXMATLOW24 BAJA ADH 30X60;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-013;ACCESORIOS;TAPETE BROTHER CADXMATSTD12 STD 30X30;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-014;ACCESORIOS;TAPETE BROTHER CADXMATSTD24 STD 30X60;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-015;ACCESORIOS;CUCHILLA BROTHER CADXBLDV1 VINILO;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-016;ACCESORIOS;CUCHILLA BROTHER CADXBLDQ1 TELA;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-017;ACCESORIOS;CUCHILLA BROTHER CADXBLD1 STD;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-018;ACCESORIOS;RODILLO BROTHER CABRY1 ADHESIVO TAPETE;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-019;ACCESORIOS;BASTIDOR BROTHER PRH60 6X4CM;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-020;ACCESORIOS;BASTIDOR BROTHER PRH100 10X10CM;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-021;ACCESORIOS;BASTIDOR BROTHER PRH180 18X13CM;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-022;ACCESORIOS;BASTIDOR BROTHER PRH300 20X30CM;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-023;ACCESORIOS;ACCESORIOS BROTHER PRCF3 MARCO TAPA 60MM;Sol Control;ACCESORIOS;GS;0;0;SIN_PRECIO;
ACC-ACC-024;ACCESORIOS;HEAD INSTALLATION KIT SC-V7000 SERIES;Sol Control;ACCESORIOS;USD;0;0;SIN_PRECIO;
ACC-ACC-025;ACCESORIOS;DOCUMENT PACK SC-V7000 SERIES;Sol Control;ACCESORIOS;USD;0;0;SIN_PRECIO;
MAQCOS-COM-001;MAQUINAS DE COSER;MAQUINA DE COSER RECTA INDUSTRIAL WILPEX;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
MAQCOS-COM-002;MAQUINAS DE COSER;MAQUINA DE COSER OVERLOCK INDUSTRIAL WILPEX;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
MAQCOS-COM-003;MAQUINAS DE COSER;MAQUINA DE COSER COLLARETA INDUSTRIAL WILPEX;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
MAQCOS-COM-004;MAQUINAS DE COSER;OVERLOCK FLIAR WILPEX WP334;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
MAQCOS-COM-005;MAQUINAS DE COSER;COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR;Todo Costura;COMERCIAL;GS;0;0;SIN_PRECIO;
CMB-COM-001;COMBOS;COMBO: IMPRESORA EPSON F170 + CAMEO 5;Sol Control;COMERCIAL;GS;5990000;6190000;ACTIVO;
CMB-COM-002;COMBOS;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;5190000;5390000;ACTIVO;
CMB-COM-003;COMBOS;COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + GRABADORA LASER 10W;Sol Control;COMERCIAL;GS;7590000;7890000;ACTIVO;
CMB-COM-004;COMBOS;COMBO: IMPRESORA EPSON L1250 + SCANCUT SDX125 + PRENSA 8 EN 1;Sol Control;COMERCIAL;GS;6890000;7190000;ACTIVO;
CMB-COM-005;COMBOS;COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5;Sol Control;COMERCIAL;GS;8290000;8690000;ACTIVO;
