CODIGO,NOMBRE_PRODUCTO,CATEGORIA,LINEA,PROVEEDOR,MONEDA,COSTO,ESTADO,NOTAS
SC-060,SURE COLOR S80600L BULK INK SYSTEM,SURECOLOR,INDUSTRIAL,Sol Control,USD,26413.69,ACTIVO,
SC-061,EPSON SURECOLOR R5070L PRODUCTION EDITION,SURECOLOR,INDUSTRIAL,Sol Control,USD,24127.91,ACTIVO,
SC-062,EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL,SURECOLOR,INDUSTRIAL,Sol Control,USD,22929.0,ACTIVO,
SC-063,EPSON SURECOLOR V7000 UV FLATBED,SURECOLOR,INDUSTRIAL,Sol Control,USD,83580.47,ACTIVO,
SC-064,SC-V7000 LARGE FORMAT INKJET PRINTER,SURECOLOR,INDUSTRIAL,Sol Control,USD,64356.96,ACTIVO,
SC-065,HEAD INSTALLATION KIT FOR SC-V7000SERIES,ACCESORIOS,ACCESORIOS,Sol Control,USD,17551.9,ACTIVO,
SC-066,DOCUMENT PACK FOR SC-V7000 SERIES,SURECOLOR,INDUSTRIAL,Sol Control,USD,1671.6,ACTIVO,
SC-067,SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%,IMPRESORAS,COMERCIAL,Sol Control,USD,8303.0,ACTIVO,
SC-068,SIGNAGE SURECOLOR V1070 A4,IMPRESORAS,COMERCIAL,Sol Control,USD,8000.0,ACTIVO,
SC-070,SURECOLOR T3170,IMPRESORAS,COMERCIAL,Sol Control,USD,894.83,ACTIVO,
SC-071,SURECOLOR T3170X,IMPRESORAS,COMERCIAL,Sol Control,USD,2098.0,ACTIVO,
SC-072,SURECOLOR T3170M,IMPRESORAS,COMERCIAL,Sol Control,USD,2109.34,ACTIVO,
SC-073,SURECOLOR T3770E SINGLE ROLL 24,SURECOLOR,INDUSTRIAL,Sol Control,USD,3721.52,ACTIVO,
SC-074,SURECOLOR T3770DE DUAL ROLL 24,SURECOLOR,INDUSTRIAL,Sol Control,USD,4536.65,ACTIVO,
SC-075,SURECOLOR T3770D DUAL ROLL 24 PS,SURECOLOR,INDUSTRIAL,Sol Control,USD,5159.54,ACTIVO,
SC-076,SURECOLOR T5170,SURECOLOR,INDUSTRIAL,Sol Control,USD,2405.53,ACTIVO,
SC-077,SURECOLOR T5170M,SURECOLOR,INDUSTRIAL,Sol Control,USD,4082.1,ACTIVO,
SC-078,SURECOLOR T7770D 44,SURECOLOR,INDUSTRIAL,Sol Control,USD,6422.12,ACTIVO,
SC-079,SURECOLOR T7770DL 44 INK BAG PS,SURECOLOR,INDUSTRIAL,Sol Control,USD,9138.32,ACTIVO,
SC-080,SURECOLOR T5475,SURECOLOR,INDUSTRIAL,Sol Control,USD,2579.1,ACTIVO,
SC-081,SURECOLOR T5470M,SURECOLOR,INDUSTRIAL,Sol Control,USD,4628.0,ACTIVO,
SC-082,SURECOLOR T5770D 36,SURECOLOR,INDUSTRIAL,Sol Control,USD,5539.65,ACTIVO,
SC-083,SURECOLOR T5770DM DUAL ROLL MFP 36,SURECOLOR,INDUSTRIAL,Sol Control,USD,10189.01,ACTIVO,
SC-084,"""SCT5475SR SURECOLOR 36""""",SURECOLOR,INDUSTRIAL,Sol Control,USD,2632.0,ACTIVO,
SC-085,SURECOLOR F570,SURECOLOR,INDUSTRIAL,Sol Control,USD,2055.59,ACTIVO,
SC-086,SURECOLOR F1070,IMPRESORAS,COMERCIAL,Sol Control,USD,6571.1,ACTIVO,
