Nombre,ID_Ref,Proveedor,Linea,Costo_Compra,Moneda_Costo,Margen_Pct
EPSON SURECOLOR P7570 STANDARD EDITION,SC-050,Sol Control,INDUSTRIAL,4616.73,USD,23.0
EPSON SURECOLOR P9570 STANDARD EDITION,SC-051,Sol Control,INDUSTRIAL,6433.62,USD,23.0
EPSON SURECOLOR P8570D 44 DUAL ROLL,SC-052,Sol Control,INDUSTRIAL,6038.42,USD,23.0
SURECOLOR P6570E SINGLE ROLL 24,SC-053,Sol Control,INDUSTRIAL,3711.41,USD,23.0
SURECOLOR P6570DE DUAL ROLL 24,SC-054,Sol Control,INDUSTRIAL,4525.04,USD,23.0
SURECOLOR P6570D DUAL ROLL 24 PS,SC-055,Sol Control,INDUSTRIAL,5145.53,USD,23.0
EPSON SURECOLOR P20000 STANDARD EDITION,SC-056,Sol Control,INDUSTRIAL,11921.63,USD,23.0
EPSON SURECOLOR P8570DL 44 INK BAGS PS,SC-057,Sol Control,INDUSTRIAL,8265.99,USD,23.0
SURECOLOR S40600 PRODUCTION EDITION,SC-058,Sol Control,INDUSTRIAL,8390.0,USD,23.0
SURE COLOR S60600L BULK INK SYSTEM,SC-059,Sol Control,INDUSTRIAL,21979.96,USD,23.0
SURE COLOR S80600L BULK INK SYSTEM,SC-060,Sol Control,INDUSTRIAL,26413.69,USD,23.0
EPSON SURECOLOR R5070L PRODUCTION EDITION,SC-061,Sol Control,INDUSTRIAL,24127.91,USD,23.0
EPSON SURECOLOR R5070L PRODUCTION EDITION PRECIO ESPECIAL,SC-062,Sol Control,INDUSTRIAL,22929.0,USD,23.0
EPSON SURECOLOR V7000 UV FLATBED,SC-063,Sol Control,INDUSTRIAL,83580.47,USD,23.0
SC-V7000 LARGE FORMAT INKJET PRINTER,SC-064,Sol Control,INDUSTRIAL,64356.96,USD,23.0
HEAD INSTALLATION KIT FOR SC-V7000SERIES,SC-065,Sol Control,ACCESORIOS,17551.9,USD,23.0
DOCUMENT PACK FOR SC-V7000 SERIES,SC-066,Sol Control,INDUSTRIAL,1671.6,USD,23.0
SIGNAGE SURECOLOR V1070 A4 PRECIO DE LISTA SOL CONTROL 2025 DIC CON EL 5%,SC-067,Sol Control,COMERCIAL,8303.0,USD,23.0
SIGNAGE SURECOLOR V1070 A4,SC-068,Sol Control,COMERCIAL,8000.0,USD,23.0
SIGNAGE SURECOLOR V2070 A3,SC-069,Sol Control,COMERCIAL,0.0,USD,23.0
SURECOLOR T3170,SC-070,Sol Control,COMERCIAL,894.83,USD,23.0
SURECOLOR T3170X,SC-071,Sol Control,COMERCIAL,2098.0,USD,23.0
SURECOLOR T3170M,SC-072,Sol Control,COMERCIAL,2109.34,USD,23.0
SURECOLOR T3770E SINGLE ROLL 24,SC-073,Sol Control,INDUSTRIAL,3721.52,USD,23.0
