ID REF;PROVEEDOR;DESCRIPCIÓN / INSUMO
TC-002;Todo Costura;PRENSA TERMICA 38X38
TC-003;Todo Costura;GRABADORA LASER 10W 
TC-004;Todo Costura;EJE ROTATIVO ESTÁNDAR
TC-005;Todo Costura;GRABADORA LASER 10W 
TC-006;Todo Costura;PATITAS BASE
TC-007;Todo Costura;COMPRESOR DE AIRE
TC-008;Todo Costura;GRABADORA LASER 20W 
TC-009;Todo Costura; PRENSA TAZA COMUN 11 OZ
TC-010;Todo Costura;TRANSFER TAZAS DOBLE
TC-011;Todo Costura;EJE ROTATIVO PRO
TC-012;Todo Costura;PRENSA 8 EN 1
TC-013;Todo Costura;PRENSA 11 EN 1
TC-014;Todo Costura;PRENSA 15 EN 1
TC-015;Todo Costura;PRENSA 6 EN 1
TC-016;Todo Costura;PRENSA BOLIGRAFOS
TC-017;Todo Costura;TINTA LITRO SUBLI CY,MG,YE
TC-018;Todo Costura;TINTA LITRO SUBLI BK
TC-019;Todo Costura;RESMA DE PAPEL A4
TC-020;Todo Costura;RESMA DE PAPEL A4 PREMIUN
TC-021;Todo Costura;HORNO DTF A3
TC-022;Todo Costura;CAMEO 5
TC-023;Todo Costura;GRABADORA LASER 10W 
TC-024;Todo Costura;DTF 60CM 100 METROS
TC-025;Todo Costura;POLVO DTF KILO
TC-026;Todo Costura; BORDADORA JANOME MC400E
TC-027;Todo Costura;JBORDADORA ANOME MC500E
TC-028;Todo Costura;BORDADORA JANOME MC550E
TC-029;Todo Costura;BORDADORA JANOME MB7
TC-030;Todo Costura;BORDADORA INDUSTRIAL WILPEX WP121C
TC-031;Todo Costura;OVERLOCK FLIAR WILPEX WP334
TC-032;Todo Costura;COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR
TC-033;Todo Costura;CAMEO PLUS
TC-034;Todo Costura;CAMEO 15 PULGADAS
TC-035;Todo Costura;CAMEO 24 PULGADAS
TC-036;Todo Costura;CORTADORA DE PLOTTER WILPPEX 75CM
TC-037;Todo Costura;PRENSA TAZAS DOBLE
TC-038;Todo Costura;PRENSA TAZAS 5 EN 1
TC-039;Todo Costura;BORDADORA WILPEX IND 15 AGUJAS SMART
TC-040;Todo Costura;PRENSA MANUAL 100X80
