ID,NOMBRE,PROVEEDOR,LINEA,COSTO,MONEDA
SC-105,"TINTA F170 O F570 DE 140ML COLORES CY,MG,YE (CADA UNO) BOTELLITA",Sol Control,INSUMOS,18.5,USD
SC-106,ROLLO F570 PAPEL 30 METROS EPSON,Sol Control,INSUMOS,26.6,USD
SC-107,"TINTA EPSON F6200, CON IVA",Sol Control,INSUMOS,429.4,USD
SC-108,"TINTA EPSON F F6370, F9470 (UNA CAJA 6 UNIDADES) CON IVA",Sol Control,INSUMOS,541.5,USD
SC-109,SCG6070SE - G6070 CON IVA,Sol Control,INDUSTRIAL,8629.0,USD
SC-110,SCF9570PE - F9570 CON IVA PROMO,Sol Control,INDUSTRIAL,18617.0,USD
SC-112,SCF9570PE - F9570 CON IVA,Sol Control,INDUSTRIAL,21701.45,USD
SC-113,SCF9570HPE - F9570H SIN IVA,Sol Control,INDUSTRIAL,21717.0,USD
SC-114,EPSON SURECOLOR F11070,Sol Control,INDUSTRIAL,101962.0,USD
SC-115,EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES,Sol Control,INDUSTRIAL,83982.54,USD
TC-001,PRENSA TERMICA 60X40,Todo Costura,COMERCIAL,2000000.0,GS
TC-002,PRENSA TERMICA 38X38,Todo Costura,COMERCIAL,1300000.0,GS
TC-003,GRABADORA LASER 10W,Todo Costura,COMERCIAL,4800000.0,GS
TC-004,EJE ROTATIVO ESTÁNDAR,Todo Costura,COMERCIAL,700000.0,GS
TC-005,GRABADORA LASER 10W,Todo Costura,COMERCIAL,3000000.0,GS
TC-006,PATITAS BASE,Todo Costura,ACCESORIOS,200000.0,GS
TC-007,COMPRESOR DE AIRE,Todo Costura,ACCESORIOS,450000.0,GS
TC-008,GRABADORA LASER 20W,Todo Costura,COMERCIAL,4800000.0,GS
TC-009,PRENSA TAZA COMUN 11 OZ,Todo Costura,COMERCIAL,440000.0,GS
TC-010,TRANSFER TAZAS DOBLE,Todo Costura,COMERCIAL,995000.0,GS
TC-011,EJE ROTATIVO PRO,Todo Costura,ACCESORIOS,1250000.0,GS
TC-012,PRENSA 8 EN 1,Todo Costura,COMERCIAL,1900000.0,GS
TC-013,PRENSA 11 EN 1,Todo Costura,COMERCIAL,2900000.0,GS
TC-014,PRENSA 15 EN 1,Todo Costura,COMERCIAL,3400000.0,GS
TC-015,PRENSA 6 EN 1,Todo Costura,COMERCIAL,1750000.0,GS
TC-016,PRENSA BOLIGRAFOS,Todo Costura,COMERCIAL,1190000.0,GS
TC-017,"TINTA LITRO SUBLI CY,MG,YE",Todo Costura,INSUMOS,180000.0,GS
TC-018,TINTA LITRO SUBLI BK,Todo Costura,INSUMOS,225000.0,GS
TC-019,RESMA DE PAPEL A4,Todo Costura,INSUMOS,30000.0,GS
TC-020,RESMA DE PAPEL A4 PREMIUN,Todo Costura,INSUMOS,90000.0,GS
TC-021,HORNO DTF A3,Todo Costura,COMERCIAL,3300000.0,GS
TC-022,CAMEO 5,Todo Costura,COMERCIAL,2450000.0,GS
TC-023,GRABADORA LASER 10W,Todo Costura,COMERCIAL,3000000.0,GS
TC-024,DTF 60CM 100 METROS,Todo Costura,INSUMOS,1300000.0,GS
TC-025,POLVO DTF KILO,Todo Costura,INSUMOS,235000.0,GS
TC-026,BORDADORA JANOME MC400E,Todo Costura,COMERCIAL,8600000.0,GS
TC-027,BORDADORA JANOME MC500E,Todo Costura,COMERCIAL,9900000.0,GS
TC-028,BORDADORA JANOME MC550E,Todo Costura,COMERCIAL,10900000.0,GS
TC-029,BORDADORA JANOME MB7,Todo Costura,COMERCIAL,39500000.0,GS
TC-030,BORDADORA INDUSTRIAL WILPEX WP121C,Todo Costura,INDUSTRIAL,35500000.0,GS
TC-031,OVERLOCK FLIAR WILPEX WP334,Todo Costura,COMERCIAL,1826500.0,GS
TC-032,COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR,Todo Costura,COMERCIAL,2730000.0,GS
TC-033,CAMEO PLUS,Todo Costura,COMERCIAL,3300000.0,GS
TC-034,CAMEO 15 PULGADAS,Todo Costura,COMERCIAL,3600000.0,GS
TC-035,CAMEO 24 PULGADAS,Todo Costura,COMERCIAL,4500000.0,GS
TC-036,CORTADORA DE PLOTTER WILPPEX 75CM,Todo Costura,COMERCIAL,3200000.0,GS
TC-037,PRENSA TAZAS DOBLE,Todo Costura,COMERCIAL,995000.0,GS
TC-038,PRENSA TAZAS 5 EN 1,Todo Costura,COMERCIAL,2700000.0,GS
TC-039,BORDADORA WILPEX IND 15 AGUJAS SMART,Todo Costura,INDUSTRIAL,36000000.0,GS
TC-040,PRENSA MANUAL 100X80,Todo Costura,INDUSTRIAL,12750000.0,GS
TC-041,DOBLE BANDEJA,Todo Costura,INDUSTRIAL,30500000.0,GS
TC-042,CALANDRA 1.7 ROLLO A ROLLO,Todo Costura,INDUSTRIAL,81000000.0,GS
TC-043,CALANDRA 1.8,Todo Costura,INDUSTRIAL,30000000.0,GS
TC-044,EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR,Todo Costura,INDUSTRIAL,30819955.16,GS
TC-045,MAQUINA DE COSER RECTA IND WILPEX,Todo Costura,INDUSTRIAL,2120000.0,GS
TC-046,MAQUIINA DE COSER OVERLOCK IND WILPEX,Todo Costura,INDUSTRIAL,3200000.0,GS
TC-047,MAQUINA DE COSER COLLARETA IND WILPEX,Todo Costura,INDUSTRIAL,4100000.0,GS
CMB-001,COMBO: IMPRESORA EPSON F170 + CAMEO 5,COMBO,COMERCIAL,0,GS
CMB-002,COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-003,COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + GRABADORA LASER 10W,COMBO,COMERCIAL,0,GS
CMB-004,COMBO: IMPRESORA EPSON L1250 + SCANCUT SDX125 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-005,COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5,COMBO,COMERCIAL,0,GS
CMB-006,COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + GRABADORA LASER 10W,COMBO,COMERCIAL,0,GS
CMB-007,COMBO: IMPRESORA EPSON F170 + SCANCUT SDX125 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-008,COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-009,COMBO: IMPRESORA EPSON L1250 + BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-010,COMBO: IMPRESORA EPSON L1250 + CAMEO 5 + GRABADORA LASER 10W,COMBO,COMERCIAL,0,GS
CMB-011,COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1,COMBO,COMERCIAL,0,GS
CMB-012,COMBO: SCANCUT SDX125 + PRENSA TERMICA 38X38,COMBO,COMERCIAL,0,GS
CMB-013,COMBO: IMPRESORA EPSON F170 + CAMEO 5 + GRABADORA LASER 10W,COMBO,COMERCIAL,0,GS
CMB-014,COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1,COMBO,COMERCIAL,0,GS
CMB-015,COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA COMUN 11 OZ,COMBO,COMERCIAL,0,GS
CMB-016,COMBO: IMPRESORA EPSON L121 + PRENSA 11 EN 1,COMBO,COMERCIAL,0,GS
CMB-017,COMBO: IMPRESORA EPSON L1250 + PRENSA 11 EN 1,COMBO,COMERCIAL,0,GS
CMB-018,COMBO: IMPRESORA EPSON F170 + PRENSA 15 EN 1,COMBO,COMERCIAL,0,GS
CMB-019,COMBO: IMPRESORA EPSON L121 + PRENSA 15 EN 1,COMBO,COMERCIAL,0,GS
CMB-020,COMBO: IMPRESORA EPSON L1250 + PRENSA 15 EN 1,COMBO,COMERCIAL,0,GS
CMB-021,COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5,COMBO,COMERCIAL,0,GS
CMB-022,COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1 + CAMEO 5,COMBO,COMERCIAL,0,GS
CMB-023,COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + CAMEO 5,COMBO,COMERCIAL,0,GS
CMB-024,COMBO: GRABADORA LASER 10W + PATITAS BASE + EJE ROTATIVO ESTANDAR + COMPRESOR DE AIRE + BASE DE PANAL PARA GRABADORA LASER 45X45,COMBO,COMERCIAL,0,GS
