Nombre;ID_Ref;Proveedor;Linea;Costo_Compra;Moneda_Costo;Margen_Pct
SURECOLOR  F6470 PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK);SC-089;Sol Control;INDUSTRIAL;71760;USD;300
SURECOLOR  F6470H PRINTER WITH STAND & TAKEUP REEL (NO INITIAL INK/UGK);SC-090;Sol Control;INDUSTRIAL;720009;USD;300
KIT INICIACION F6470;SC-091;Sol Control;INSUMOS;5026;USD;300
SURECOLOR F6470 IVA Y KIT;SC-092;Sol Control;INDUSTRIAL;77027;USD;300
F6470 + KIT SIN IVA;SC-093;Sol Control;INDUSTRIAL;73520;USD;300
SURECOLOR F3070 BASE UNIT;SC-094;Sol Control;INDUSTRIAL;5397654;USD;300
SURECOLOR F9470 PRODUCTION EDITION;SC-095;Sol Control;INDUSTRIAL;210900;USD;300
SURECOLOR F9470 PRODUCTION EDITION;SC-096;Sol Control;INDUSTRIAL;2443716;USD;300
SCF9570PE - F9570 CON IVA;SC-097;Sol Control;INDUSTRIAL;2367430;USD;300
SCF9570HPE - F9570H CON IVA;SC-098;Sol Control;INDUSTRIAL;2369127;USD;300
SURECOLOR F10070H BASE PRINTER FOR LATIN AMERICA;SC-099;Sol Control;INDUSTRIAL;8688166;USD;300
SURECOLOR F10070H OPT HEATER ROLL INK SYSTEM;SC-100;Sol Control;INDUSTRIAL;1150704;USD;300
SURECOLOR F2270 DIRECT TO GARMENT;SC-101;Sol Control;INDUSTRIAL;1457425;USD;300
TINTA F6470  POR CAJA UNA CAJA TRAE 2 DEL MISMO COLOR;SC-102;Sol Control;INSUMOS;22705;USD;300
CAJA F170 DE MANTENIMIENTO;SC-103;Sol Control;INSUMOS;210;USD;300
CAJA F570 DE MANTENIMIENTO;SC-104;Sol Control;INSUMOS;400;USD;300
TINTA F170 O F570 DE 140ML COLORES CY,MG,YE (CADA UNO) BOTELLITA;SC-105;Sol Control;INSUMOS;185;USD;300
ROLLO F570 PAPEL 30 METROS EPSON;SC-106;Sol Control;INSUMOS;266;USD;300
TINTA EPSON F6200, CON IVA;SC-107;Sol Control;INSUMOS;4294;USD;300
TINTA EPSON F F6370, F9470 (UNA CAJA 6 UNIDADES) CON IVA;SC-108;Sol Control;INSUMOS;5415;USD;300
SCG6070SE - G6070 CON IVA;SC-109;Sol Control;INDUSTRIAL;86290;USD;300
SCF9570PE - F9570 CON IVA PROMO;SC-110;Sol Control;INDUSTRIAL;186170;USD;300
SCF9570PE - F9570 CON IVA;SC-112;Sol Control;INDUSTRIAL;2170145;USD;300
SCF9570HPE - F9570H SIN IVA;SC-113;Sol Control;INDUSTRIAL;217170;USD;300
EPSON SURECOLOR F11070;SC-114;Sol Control;INDUSTRIAL;1019620;USD;300
EPSON SURECOLOR F11070 MEJORADO 3 UNIDADES;SC-115;Sol Control;INDUSTRIAL;8398254;USD;300
PRENSA TERMICA 60X40;TC-001;Todo Costura;COMERCIAL;20000000;GS;300
PRENSA TERMICA 38X38;TC-002;Todo Costura;COMERCIAL;13000000;GS;300
GRABADORA LASER 10W;TC-003;Todo Costura;COMERCIAL;48000000;GS;300
EJE ROTATIVO ESTÁNDAR;TC-004;Todo Costura;COMERCIAL;7000000;GS;300
GRABADORA LASER 10W;TC-005;Todo Costura;COMERCIAL;30000000;GS;300
PATITAS BASE;TC-006;Todo Costura;ACCESORIOS;2000000;GS;300
COMPRESOR DE AIRE;TC-007;Todo Costura;ACCESORIOS;4500000;GS;300
GRABADORA LASER 20W;TC-008;Todo Costura;COMERCIAL;48000000;GS;300
PRENSA TAZA COMUN 11 OZ;TC-009;Todo Costura;COMERCIAL;4400000;GS;300
TRANSFER TAZAS DOBLE;TC-010;Todo Costura;COMERCIAL;9950000;GS;300
EJE ROTATIVO PRO;TC-011;Todo Costura;ACCESORIOS;12500000;GS;300
PRENSA 8 EN 1;TC-012;Todo Costura;COMERCIAL;19000000;GS;300
PRENSA 11 EN 1;TC-013;Todo Costura;COMERCIAL;29000000;GS;300
PRENSA 15 EN 1;TC-014;Todo Costura;COMERCIAL;34000000;GS;300
PRENSA 6 EN 1;TC-015;Todo Costura;COMERCIAL;17500000;GS;300
PRENSA BOLIGRAFOS;TC-016;Todo Costura;COMERCIAL;11900000;GS;300
TINTA LITRO SUBLI CY,MG,YE;TC-017;Todo Costura;INSUMOS;1800000;GS;300
TINTA LITRO SUBLI BK;TC-018;Todo Costura;INSUMOS;2250000;GS;300
RESMA DE PAPEL A4;TC-019;Todo Costura;INSUMOS;300000;GS;300
RESMA DE PAPEL A4 PREMIUN;TC-020;Todo Costura;INSUMOS;900000;GS;300
HORNO DTF A3;TC-021;Todo Costura;COMERCIAL;33000000;GS;300
CAMEO 5;TC-022;Todo Costura;COMERCIAL;24500000;GS;300
GRABADORA LASER 10W;TC-023;Todo Costura;COMERCIAL;30000000;GS;300
DTF 60CM 100 METROS;TC-024;Todo Costura;INSUMOS;13000000;GS;300
POLVO DTF KILO;TC-025;Todo Costura;INSUMOS;2350000;GS;300
BORDADORA JANOME MC400E;TC-026;Todo Costura;COMERCIAL;86000000;GS;300
BORDADORA JANOME MC500E;TC-027;Todo Costura;COMERCIAL;99000000;GS;300
BORDADORA JANOME MC550E;TC-028;Todo Costura;COMERCIAL;109000000;GS;300
BORDADORA JANOME MB7;TC-029;Todo Costura;COMERCIAL;395000000;GS;300
BORDADORA INDUSTRIAL WILPEX WP121C;TC-030;Todo Costura;INDUSTRIAL;355000000;GS;300
OVERLOCK FLIAR WILPEX WP334;TC-031;Todo Costura;COMERCIAL;18265000;GS;300
COLLERETA Y OVERLOCK 5 HILOS WILPEX FLIAR;TC-032;Todo Costura;COMERCIAL;27300000;GS;300
CAMEO PLUS;TC-033;Todo Costura;COMERCIAL;33000000;GS;300
CAMEO 15 PULGADAS;TC-034;Todo Costura;COMERCIAL;36000000;GS;300
CAMEO 24 PULGADAS;TC-035;Todo Costura;COMERCIAL;45000000;GS;300
CORTADORA DE PLOTTER WILPPEX 75CM;TC-036;Todo Costura;COMERCIAL;32000000;GS;300
PRENSA TAZAS DOBLE;TC-037;Todo Costura;COMERCIAL;9950000;GS;300
PRENSA TAZAS 5 EN 1;TC-038;Todo Costura;COMERCIAL;27000000;GS;300
BORDADORA WILPEX IND 15 AGUJAS SMART;TC-039;Todo Costura;INDUSTRIAL;360000000;GS;300
PRENSA MANUAL 100X80;TC-040;Todo Costura;INDUSTRIAL;127500000;GS;300
DOBLE BANDEJA;TC-041;Todo Costura;INDUSTRIAL;305000000;GS;300
CALANDRA 1.7 ROLLO A ROLLO;TC-042;Todo Costura;INDUSTRIAL;810000000;GS;300
CALANDRA 1.8;TC-043;Todo Costura;INDUSTRIAL;300000000;GS;300
EPSON F570+100X80+MULTI+OVERLOCK+COLLARETA FLIAR;TC-044;Todo Costura;INDUSTRIAL;3081995516;GS;300
MAQUINA DE COSER RECTA IND WILPEX;TC-045;Todo Costura;INDUSTRIAL;21200000;GS;300
MAQUIINA DE COSER OVERLOCK IND WILPEX;TC-046;Todo Costura;INDUSTRIAL;32000000;GS;300
MAQUINA DE COSER COLLARETA IND WILPEX;TC-047;Todo Costura;INDUSTRIAL;41000000;GS;300
COMBO: IMPRESORA EPSON F170 + CAMEO 5;CMB-001;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1;CMB-002;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + GRABADORA LASER 10W;CMB-003;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + SCANCUT SDX125 + PRENSA 8 EN 1;CMB-004;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5;CMB-005;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + GRABADORA LASER 10W;CMB-006;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + SCANCUT SDX125 + PRENSA 8 EN 1;CMB-007;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1;CMB-008;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + BORDADORA BROTHER NV970LPA 2 EN 1 BORDA Y COSE 10 + PRENSA 8 EN 1;CMB-009;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + CAMEO 5 + GRABADORA LASER 10W;CMB-010;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1;CMB-011;COMBO;COMERCIAL;;GS;300
COMBO: SCANCUT SDX125 + PRENSA TERMICA 38X38;CMB-012;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + CAMEO 5 + GRABADORA LASER 10W;CMB-013;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 11 EN 1;CMB-014;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA TAZA COMUN 11 OZ;CMB-015;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L121 + PRENSA 11 EN 1;CMB-016;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA 11 EN 1;CMB-017;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 15 EN 1;CMB-018;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L121 + PRENSA 15 EN 1;CMB-019;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA 15 EN 1;CMB-020;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON F170 + PRENSA 8 EN 1 + CAMEO 5;CMB-021;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L121 + PRENSA 8 EN 1 + CAMEO 5;CMB-022;COMBO;COMERCIAL;;GS;300
COMBO: IMPRESORA EPSON L1250 + PRENSA 8 EN 1 + CAMEO 5;CMB-023;COMBO;COMERCIAL;;GS;300
COMBO: GRABADORA LASER 10W + PATITAS BASE + EJE ROTATIVO ESTANDAR + COMPRESOR DE AIRE + BASE DE PANAL PARA GRABADORA LASER 45X45;CMB-024;COMBO;COMERCIAL;;GS;300
