Año;PRODUCTO;CANTIDAD
2022;PROMO HP  CE 14-AX100LA STREAM + MOUSE HP 1000;1
2022;REP EP WIPER DE LIMPIEZA F2100 (C13S092001);1
2022;REP EP WIPER F9370 HEAD CLEANING KIT (C13S210051);6
2022;TANQUE EPSON PLOTER F6070 (T619300);1
2022;TECLADO LOGIT 920-004432 MK270 COMBO WIR;1
2022;TECLADO LOGIT 920-008659 MK850 COMBO WIR PERFOMAN;1
2022;TINTA EP F6070/F6200 T741220 CYAN ULTRACHROME;62
2022;TINTA EP F6070/F6200 T741320 MAGENTA ULTRACHROME;38
2022;TINTA EP F6070/F6200 T741420 AMARILLO ULTRACHROME;12
2022;TINTA EP F6200 T741X20 NEGRO ULTRACHROME;33
2022;TINTA EP F6370 T46C220 CYAN ULTRACHROME;37
2022;TINTA EP F6370 T46C320 MAGENTA ULTRACHROME;16
2022;TINTA EP F6370 T46C420 YELLOW ULTRACHROME;8
2022;TINTA EP F6370 T46C820 NEGRO ULTRACHROME;10
2022;TINTA EP F6370 T746C220 CYAN ULTRACHROME;15
2022;TINTA EP F6370 T746C320 MAGENTA ULTRACHROME;12
2022;TINTA EP F6370 T746C420 YELLOW ULTRACHROME;15
2022;TINTA EP F6370 T746C820 NEGRO ULTRACHROME;16
2022;TINTA EP P9000 T699700 KIT DE MANTENIMIENTO TANQUE;35
2022;TINTA EP P9000 T804100 NEGRO ULTRACHROME 700 ML;8
2022;TINTA EP P9000 T804200 CYAN ULTRACHROME 700 ML;10
2022;TINTA EP P9000 T804300 MAGENTA ULTRACHROME 700 ML;10
2022;TINTA EP P9000 T804400 YELLOW ULTRACHROME 700 ML;6
2022;TINTA EP P9000 T804500 CYAN CLARO ULTRACHROME 700;5
2022;TINTA EP P9000 T804600 MAGENTA CLARO ULTRACHROME 7;6
2022;TINTA EP P9000 T804700 NEGRO CLARO ULTRACHROME 700;5
2022;TINTA EP P9000 T804800 NEGRO MATE ULTRACHROME 700;1
2022;TINTA EP P9000 T804A00 NARANJA ULTRACHROME 700 ML;2
2022;TINTA EP P9000 T804B00 VERDE ULTRACHROME 700 ML;5
2022;TINTA EP P9000 T804D00 VIOLETA ULTRACHROME 700 ML;3
2022;TINTA EP T40W120 NEGRO ULTRACHROME (T3170);1
2022;TINTA EP T40W320 MAGENTA ULTRACHROME (T3170);2
2022;TINTA EP T40W420 AMARILLO ULTRACHROME (T3170);2
2022;TINTA EP T49M120 F170/F570 ULTRA NEGRO 140ML;9
2022;TINTA EP T49M120 F170/F570 ULTRA NEGRO 140ML*;8
2022;TINTA EP T49M120 F570 ULTRACHROME NEGRO 140ML;9
2022;TINTA EP T49M220 F170/F570 ULTRA CYAN 140ML;11
2022;TINTA EP T49M220 F570 ULTRACHROME CYAN 140ML;6
2022;TINTA EP T49M320 F170/F570 ULTRA MAGENTA 140ML;11
2022;TINTA EP T49M320 F170/F570 ULTRA MAGENTA 140ML*;3
2022;TINTA EP T49M320 F570 ULTRACHROME MAGENTA 140ML;4
2022;TINTA EP T49M420 F170/F570 ULTRA YELLOW 140ML;9
2022;TINTA EP T49M420 F170/F570 ULTRA YELLOW 140ML*;6
2022;TINTA EP T49M420 F570 ULTRACHROME YELLOW 140ML;4
2022;TINTA EP T725100 NEGRO 725 (F2100WE);1
2022;TINTA EP T725300 MAGENTA 725 (F2100WE);1
2022;TINTA EP T725400 AMARILLO 725 (F2100WE);1
2022;TINTA EP T725A00 BLANCO 725 (F2100WE);6
2022;TINTA EP T736000 CARTUCHO DE LIMPIEZA (F2100WE);4
2022;TINTA EP T890100 NEGRO (S40600PE);1
2022;TINTA EP T890200 CYAN (S40600PE);1
2022;TINTA EP T890320 MAGENTA (S40600PE);1
2022;TINTA EP T890400 AMARILLO (S40600PE);2
2022;UPS APS POWER     650 V.A.  VISTA;1
2022;UPS APS POWER   1KVA TOWER ON LINE;1
2023;1TINTA EP F6370 T46C220 CYAN ULTRACHROME;1
2023;1TINTA EP F6370 T46C820 NEGRO ULTRACHROME;1
2023;AURI  ARG-HS-5080WT BLANCO C/ ACCESORIOS;1
2023;CABLE RED ARG-CB-1552 CAT6 2M GRIS;1
2023;CAM WEB LOGIT 960-001280 STREAM PLUS GRAPHITE;1
2023;IMP EPSON  L 1250 SF WIR;42
2023;IMP EPSON  L 3210 MULTIFUNCION;2
